id,nombre,pelicula_1,score_1,pelicula_2,score_2,pelicula_3,score_3,pelicula_4,score_4,pelicula_5,score_5
U01,Valentina,Tránsito (2006),0.7501124,La mano que mece la cuna (1992),0.638908,Begotten (1991),0.6329098,Truly Madly Deeply (1992),0.62496567,La novia cadáver (2005),0.62243795
U02,Rodrigo,Historia de un soldado (1985),0.5786979,Monster's Ball (2002),0.57808006,Vida de este chico (1994),0.57339597,Una árida estación blanca (1989),0.57115495,Gorilas en la niebla (1989),0.56064653
U03,Camila,Ahora los padres son ellos (2010),0.6997818,Mira quién habla también (1991),0.64653265,Más allá del odio (2005),0.645139,Swingers (1997),0.64293677,La familia Addams (1992),0.639498
U04,Tomás,La red (1995),0.7286438,Pulse (Conexión) (2007),0.6907222,El cortador de césped (1992),0.6874069,Nivel 13 (1999),0.6854175,Proyecto Brainstorm (1983),0.67235744
U05,Lucía,Tránsito (2006),0.68314195,Begotten (1991),0.6446523,Durmiendo con su enemigo (1991),0.61189306,La mano que mece la cuna (1992),0.6030164,Crónica de un engaño (2010),0.59604096
U06,Martín,Como pez en el agua (1998),0.65274775,El negociador (1997),0.63487655,Persecución extrema (2007),0.63209295,Albino Alligator (1997),0.6173458,¡Que te calles! (2004),0.61411256
U07,Sofía,Ray (2005),0.6205497,Hedwig and the Angry Inch (2001),0.6091207,La diva (1981),0.60013664,Miedo y asco en Las Vegas (1999),0.5986066,El corazón del ángel (1987),0.59183586
U08,Diego,Hollywood: Departamento de homicidios (2003),0.7926596,Más fuerte que el odio (1988),0.7363573,The Fast and the Furious (A todo gas) (2001),0.73149776,Max Payne (2008),0.7293674,L.A. Confidential (1997),0.7011275
U09,Elena,Brothers (Hermanos) (2010),0.56492174,Algo en común (2005),0.564415,El turista accidental (1989),0.55991423,Todos están bien (2010),0.55796814,La vida de Pi (2012),0.5512677
U10,Facundo,Apocalipsis (1994),0.66441,Seul contre tous (1999),0.62312615,Atando cabos (2002),0.6181835,La última casa a la izquierda (2009),0.61697364,Aún sé lo que hicisteis el último verano (1999),0.6110048
U11,Julián,Prince of Persia: Las arenas del tiempo (2010),0.63130724,La bella y la bestia (1992),0.62136066,La princesa cisne (1995),0.6003238,El emperador y sus locuras (2001),0.59672934,Salvaje (The Wild) (2006),0.5868587
U12,Mariana,Juana de Arco de Luc Besson (2000),0.626565,El marido de la peluquera (1990),0.62247705,Ángel (2007),0.61244905,Belleza robada (1996),0.6078745,El juego de Ripley (2003),0.6033969
U13,Nicolás,Titanic - La película animada (2000),0.66992396,Buscando a Eva (1999),0.6491797,Pearl Harbor (2001),0.6022045,La hoguera de las vanidades (1990),0.5930377,Matador (1986),0.58810306
U14,Paula,Sabrina (y sus amores) (1996),0.6764666,Doble cuerpo (1985),0.6379779,La desaparición de Embry (2004),0.6327453,Fallen Angels (Ángeles caídos) (1995),0.62891424,Luz de luna (1986),0.62784815
