id,nombre,pelicula_1,score_1,pelicula_2,score_2,pelicula_3,score_3,pelicula_4,score_4,pelicula_5,score_5
U01,Valentina,El ente (1983),0.6279945235308545,Tránsito (2006),0.618651610099477,Femme Fatale (2003),0.6116509906404961,Alone in the Dark (2006),0.5941505111863753,The Ring (La señal) (2003),0.5897987722365896
U02,Rodrigo,Enemigo público (1999),0.5595528540382895,El asesinato de Richard Nixon (2006),0.555767995602106,La noche cae sobre Manhattan (1997),0.5520950657717351,Dark Blue (2004),0.541971930357432,Sospechoso (1988),0.5388393123644276
U03,Camila,Escuela de novatos (2004),0.7447191106660861,La pareja basura (1991),0.728619102844877,Misterioso asesinato en Manhattan (1994),0.7249833202743057,La comedia sexual de una noche de verano (1982),0.7021866723360337,Ensalada de gemelas (1988),0.6797827053304412
U04,Tomás,Proyecto Brainstorm (1983),0.5970951276809606,Pequeños guerreros (1998),0.5265060355837285,El asesinato de Richard Nixon (2006),0.5189186358424632,Paycheck (2004),0.513501818425038,La gran huida (1984),0.4985711535020312
U05,Lucía,Daredevil (2003),0.6483200686533511,Virtuosity (1995),0.6418419108767626,Número 9 (2010),0.6099834711539108,Code Geass: Lelouch of the Rebellion (2006),0.6099042920583455,Cuentos de Terramar (2006),0.6030642329001022
U06,Martín,Plan oculto (2006),0.6503449499859009,Supercañeras: El internado puede ser una fiesta (2009),0.6268784104899534,Sin motivo aparente (2003),0.6056184142338943,Albino Alligator (1997),0.6050424601223345,Heat (1996),0.6045700106836627
U07,Sofía,Aquarius (1987),0.617812915501644,Once (2007),0.6092153890272851,Ragtime (1982),0.6039785868279611,El vagón de la muerte (2008),0.6035674260376078,Slacker (1991),0.6003588680571035
U08,Diego,El único (2002),0.6875129029002993,The Punisher (El castigador) (2004),0.6870459574935426,El coche fantástico (N/A),0.6725551491210392,Snake Eyes (Ojos de serpiente) (1998),0.6709412289071003,Una historia de violencia (2005),0.6671379507758811
U09,Elena,El orfanato (2007),0.5890882066143381,A la deriva (2006),0.5645129095266892,Red Rock West (1995),0.5643105002734363,Reeker (2006),0.5567337284768087,La tostadora valiente (1994),0.5556005326267504
U10,Facundo,Inland Empire (2007),0.6087320701059361,El bosque (2004),0.570510706011654,Misteriosa obsesión (2004),0.564453240766899,La trama (1998),0.5634529262153585,Proyecto Brainstorm (1983),0.5622918461843956
U11,Julián,El último gran héroe (1993),0.6565834735564504,La bella y la bestia (1992),0.6498355349059061,Agárralo como puedas (1989),0.6471959366073846,El último golpe (2003),0.646384735387636,La noche del duende (Leprechaun) (1993),0.6398848511013364
U12,Mariana,Top Chef (2006),-0.053285746704029045,Frasier (1993),-0.05230338789148812,Un entrenador de primera (1996),-0.044121456542259366,Cory en la Casa Blanca (2007),-0.04267610817611613,Super Size Me (2004),-0.023916735733773627
U13,Nicolás,El último golpe (2003),0.7269431490129985,Razas de noche (1990),0.7251859377055361,El último gran héroe (1993),0.720266679901544,Sé lo que hicisteis el último verano (1998),0.7194217479215506,13 (2020),0.7148812061294108
U14,Paula,Nowhere (1997),0.6712127585864538,Memorias de un hombre invisible (1993),0.6678572689852036,Three (2006),0.6666313434172895,Amor loco (1995),0.6628842568547727,Cueste lo que cueste (2000),0.6603701790607791
